936,66,55,69.86
937,132,121,69.73
938,75,64,70.66
939,69,58,69.76
940,67,56,68.87
941,138,127,68.92
942,115,104,70.12
943,82,71,70.23
944,52,41,70.4
945,55,44,69.83
946,57,46,69.75
947,79,68,69.64
948,77,66,69.84
949,174,163,69.42
950,73,62,70.97
951,58,47,71.05
952,89,78,71
953,96,85,71.75
954,122,111,72.08
955,87,76,72.53
956,86,75,72.4
957,132,121,71.96
958,57,46,72.22
959,107,96,72.02
960,109,98,72.28
961,87,76,72.54
962,58,47,72.56
963,72,61,72.43
964,97,86,72.29
965,69,58,72.69
966,27,16,72.62
967,76,65,72.36
968,143,132,72.02
969,61,50,72.86
970,71,60,72.18
971,110,99,72.31
972,109,98,72.6
973,183,172,72.97
974,122,111,73.89
975,81,70,74.48
976,78,67,74.37
977,63,52,74.45
978,90,79,74.34
979,64,53,74.62
980,73,62,74.92
981,73,62,75
982,66,55,75.16
983,61,50,74.82
984,105,94,74.09
985,93,82,74.41
986,102,91,74.6
987,40,29,74.44
988,84,73,74.32
989,127,116,74.24
990,29,18,75.18
991,123,112,74.68
992,71,60,75.29
993,67,56,75.36
994,40,29,75.27
995,187,176,75.03
996,136,125,76.09
997,62,51,76.11
998,61,50,75.53
999,69,58,75.51
